Product Name,Category,SKU,Filling,Weight,Customer Price,,,
65X40CM,INSERTS,JB306,80% Down 20% Feather,Normal,$61.00,,,
65X40CM,INSERTS,JB307,80% Down 20% Feather,Firm Fill,63.6,,,
65X40CM,INSERTS,JB308,80% Down 20% Feather,Extra Firm Fill,66.2,,,
65X65CM,INSERTS,JB309,100% Feather,Normal,$22.00,,,
65X65CM,INSERTS,JB310,100% Feather,Extra Firm Fill,22.6,,,
65X65CM,INSERTS,JB311,Duck Feather - Foam,Normal,$28.75,,,
65X65CM,INSERTS,JB312,Duck Feather - Foam,Firm Fill,29.35,,,
65X65CM,INSERTS,JB313,Duck Feather - Foam,Extra Firm Fill,29.95,,,
65X65CM,INSERTS,JB314,Duck Feather - Fibre,Normal,$28.75,,,
65X65CM,INSERTS,JB315,Duck Feather - Fibre,Firm Fill,29.35,,,
65X65CM,INSERTS,JB316,Duck Feather - Fibre,Extra Firm Fill,29.95,,,
65X65CM,INSERTS,JB317,100% Polyester,Normal,$28.75,,,
65X65CM,INSERTS,JB318,100% Polyester,Firm Fill,29.35,,,
65X65CM,INSERTS,JB319,100% Polyester,Extra Firm Fill,29.95,,,
65X65CM,INSERTS,JB320,30% Down 70% Feather,Normal,$54.60,,,
65X65CM,INSERTS,JB321,30% Down 70% Feather,Firm Fill,57.2,,,
65X65CM,INSERTS,JB322,30% Down 70% Feather,Extra Firm Fill,59.8,,,
65X65CM,INSERTS,JB323,50% Down 50% Feather,Normal,$76.50,,,
65X65CM,INSERTS,JB324,50% Down 50% Feather,Firm Fill,79.1,,,
65X65CM,INSERTS,JB325,50% Down 50% Feather,Extra Firm Fill,81.7,,,
65X65CM,INSERTS,JB326,80% Down 20% Feather,Normal,$91.00,,,
65X65CM,INSERTS,JB327,80% Down 20% Feather,Firm Fill,93.6,,,
65X65CM,INSERTS,JB328,80% Down 20% Feather,Extra Firm Fill,96.2,,,
SINGLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,JB329,Duck,,$71.00,,,
SINGLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,JB330,Goose,,$88.00,,,
DOUBLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,JB331,Duck,,$100.50,,,
DOUBLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,JB332,Goose,,$110.00,,,
KING SINGLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,JB333,Duck,,$100.50,,,
KING SINGLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,JB334,Goose,,$110.00,,,
QUEEN - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,JB335,Duck,,$106.50,,,
QUEEN - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,JB336,Goose,,$133.00,,,
KING - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,JB337,Duck,,$120.50,,,
